"rd92","rd95","rd96","rd97","rd99","rd05"
1639,1639,1639,1639,1639,NA
1641,1641,1641,1641,1641,"1962"
1642,1642,1642,1642,1642,"1963"
1643,1643,1643,1643,1643,"1964"
1644,1644,1644,1644,1644,"1973"
1645,1645,1645,1645,1645,"1974"
1651,1651,1651,1651,1651,"1651"
1652,1652,1652,1652,1652,"1652"
1653,1653,1653,1653,1653,"1653"
1654,1654,1654,1654,1654,"1654"
1655,1655,1655,1655,1655,NA
1656,1656,1656,1656,1656,NA
1657,1657,1657,1657,1657,"1657"
1658,1658,1658,1658,1658,"1658"
1659,1659,1659,1659,1659,NA
1661,1661,1661,1661,1661,"1661"
1662,1662,1662,1662,1662,"1662"
1663,1663,1663,1663,1663,"1663"
1664,1664,1664,1664,1664,"1664"
1665,1665,1665,1665,1665,"1665"
1666,1666,1666,1666,1666,"1666"
1667,1667,1667,1667,1667,"1667"
1668,1668,1668,1668,1668,"1668"
1669,1669,1669,1669,1669,"1669"
1671,1671,1671,1671,1671,"1671"
1672,1672,1672,1672,1672,"1672"
1673,1673,1673,1673,1673,"1673"
1674,1674,1674,1674,1674,"1674"
1675,1675,1675,1675,1675,"1675"
1676,1676,1676,1676,1676,"1676"
1677,1677,1677,1677,1677,"1677"
1678,1678,1678,1678,1678,"1678"
1681,1681,1681,1681,1681,"1681"
1682,1682,1682,1682,1682,"1682"
1683,1683,1683,1683,1683,"1683"
1684,1684,1684,1684,1684,"1684"
1685,1685,1685,1685,1685,"1685"
1686,1686,1686,1686,1686,"1686"
1687,1687,1687,1687,1687,"1687"
1688,1688,1688,1688,1688,"1688"
1689,1689,1689,1689,1689,"1689"
1691,1691,1691,1691,1691,"1691"
1692,1692,1692,1692,1692,"1692"
1693,1693,1693,1693,1693,"1693"
1694,1694,1694,1694,1694,"1694"
1695,1695,1695,1695,1695,"1695"
1696,1696,1696,1696,1696,"1696"
1697,1697,1697,1697,1697,"1697"
1699,1699,1699,1699,1699,"1699"
1701,1701,1701,1701,1701,"1701"
1702,1702,1702,1702,1702,NA
1703,1703,1703,1703,1703,NA
1704,1704,1704,1704,1704,NA
1705,1705,1705,1705,1705,"1705"
1706,1706,1706,1706,1706,NA
1707,1707,1707,1707,1707,NA
1708,1708,1708,1708,1708,"1921"
1709,1709,1709,1709,1709,"1922"
1713,1713,1713,1713,1713,NA
1714,1714,1714,1714,1714,"1714"
1715,1715,1715,1715,1715,NA
1716,1716,1716,1716,1716,"1716"
1717,1717,1717,1717,1717,"1931"
1718,1718,1718,1718,1718,"1932"
1719,1719,1719,1719,1719,"1933"
1721,1721,1721,1721,1721,NA
1722,1722,1722,1722,1722,NA
1723,1723,1723,1723,1723,"1723"
1724,1724,1724,1724,1724,"1724"
1725,1725,1725,1725,1725,"1725"
1726,1726,1726,1726,1726,"1726"
1727,1727,1727,1727,1727,"1727"
1728,1728,1728,1728,1728,"1728"
1729,1729,1729,1729,1729,"1941;1951"
1731,1731,1731,1731,1731,NA
1732,1732,1732,1732,1732,NA
1733,1733,1733,1733,1733,NA
1734,1734,1734,1734,1734,"1734"
1735,1735,1735,1735,1735,"1735"
1736,1736,1736,1736,1736,"1736"
1737,1737,1737,1737,1737,"1737"
1738,1738,1738,1738,1738,"1738"
1739,1739,1739,1739,1739,"1961"
918,918,918,918,1742,"1997"
919,919,919,919,1743,"1998"
1744,1744,1744,1744,1744,"1744"
1745,1745,1745,1745,1745,"1745"
1746,1746,1746,1746,1746,"1746"
1747,1747,1747,1747,1747,"1747"
1748,1748,1748,1748,1748,"1971"
1749,1749,1749,1749,1749,"1972"
1751,1751,1751,1751,1751,"1751"
1752,1752,1752,1752,1752,"1752"
1753,1753,1753,1753,1753,"1753"
1754,1754,1754,1754,1754,"1754"
1755,1755,1755,1755,1755,"1755"
1756,1756,1756,1756,1756,"1756"
1757,1757,1757,1757,1757,"1757"
1758,1758,1758,1758,1758,"1758"
917,917,917,917,1759,NA
1762,1762,1762,1762,1762,"1762"
1763,1763,1763,1763,1763,"1763"
1764,1764,1764,1764,1764,"1764"
1765,1765,1765,1765,1765,"1981"
1766,1766,1766,1766,1766,"1982"
1767,1767,1767,1767,1767,"1983"
1768,1768,1768,1768,1768,"1984"
1769,1769,1769,1769,1769,"1985"
1772,1772,1772,1772,1772,NA
1773,1773,1773,1773,1773,NA
1774,1774,1774,1774,1774,"1774"
1775,1775,1775,1775,1775,"1775"
1776,1776,1776,1776,1776,"1776"
1777,1777,1777,1777,1777,"1777"
1778,1778,1778,1778,1778,"1778"
909,909,909,909,1779,NA
1782,1782,1782,1782,1782,NA
1783,1783,1783,1783,1783,NA
1784,1784,1784,1784,1784,NA
1785,1785,1785,1785,1785,"1785"
1786,1786,1786,1786,1786,"1786"
1787,1787,1787,1787,1787,"1787"
1788,1788,1788,1788,1788,"1788"
1018,1789,1789,1789,1789,"901"
1791,1791,1791,1791,1791,"1791"
1792,1792,1792,1792,1792,"1792"
1793,1793,1793,1793,1793,"1793"
1794,1794,1794,1794,1794,"1991"
1795,1795,1795,1795,1795,"1992"
1796,1796,1796,1796,1796,"1993"
1797,1797,1797,1797,1797,"902"
1798,1798,1798,1798,1798,"1994"
1799,1799,1799,1799,1799,"1995"
1801,1801,1801,1801,1801,"1801"
1802,1802,1802,1802,1802,"1802"
1803,1803,1803,1803,1803,"1803"
1804,1804,1804,1804,1804,"1804"
1821,1821,1821,1821,1821,"1821"
1822,1822,1822,1822,1822,"1822"
1823,1823,1823,1823,1823,"1823"
1824,1824,1824,1824,1824,"1824"
1826,1826,1826,1826,1826,"1826"
1827,1827,1827,1827,1827,"1827"
1829,1829,1829,1829,1829,"1829"
1834,1834,1834,1834,1834,"1834"
1835,1835,1835,1835,1835,"1835"
1836,1836,1836,1836,1836,"1836"
1837,1837,1837,1837,1837,"1837"
1838,1838,1838,1838,1838,"1838"
1839,1839,1839,1839,1839,"1839"
1841,1841,1841,1841,1841,"1841"
1842,1842,1842,1842,1842,"1842"
1844,1844,1844,1844,1844,"1844"
1846,1846,1846,1846,1846,"1846"
1849,1849,1849,1849,1849,"1849"
1861,1861,1861,1861,1861,"1861"
1862,1862,1862,1862,1862,"1862"
1863,1863,1863,1863,1863,"1863"
1864,1864,1864,1864,1864,"1864"
1871,1871,1871,1871,1871,"1871"
1881,1881,1881,1881,1881,"1881"
